256,192,754,5,0,0:0:0:0:
109,192,754,1,0,0:0:0:0:
256,192,1402,1,0,0:0:0:0:
109,192,1402,1,0,0:0:0:0:
256,192,2051,1,0,0:0:0:0:
109,192,2051,1,0,0:0:0:0:
256,192,2375,1,0,0:0:0:0:
109,192,2375,1,0,0:0:0:0:
256,192,2699,1,0,0:0:0:0:
109,192,2699,1,0,0:0:0:0:
182,192,2862,1,0,0:0:0:0:
109,192,2862,1,0,0:0:0:0:
36,192,2862,1,0,0:0:0:0:
182,192,3024,1,0,0:0:0:0:
109,192,3024,1,0,0:0:0:0:
36,192,3024,1,0,0:0:0:0:
182,192,3186,1,0,0:0:0:0:
36,192,3186,1,0,0:0:0:0:
182,192,3348,1,0,0:0:0:0:
109,192,3348,1,0,0:0:0:0:
36,192,3348,1,0,0:0:0:0:
256,192,3348,1,0,0:0:0:0:
36,192,3429,1,0,0:0:0:0:
36,192,3510,1,0,0:0:0:0:
36,192,3591,1,0,0:0:0:0:
109,192,3672,1,0,0:0:0:0:
36,192,3672,1,0,0:0:0:0:
256,192,3672,1,0,0:0:0:0:
36,192,3753,1,0,0:0:0:0:
109,192,3835,1,0,0:0:0:0:
36,192,3835,1,0,0:0:0:0:
36,192,3916,1,0,0:0:0:0:
109,192,3997,1,0,0:0:0:0:
36,192,3997,1,0,0:0:0:0:
256,192,3997,1,0,0:0:0:0:
36,192,4078,1,0,0:0:0:0:
109,192,4159,1,0,0:0:0:0:
36,192,4159,1,0,0:0:0:0:
36,192,4240,1,0,0:0:0:0:
109,192,4321,1,0,0:0:0:0:
36,192,4321,1,0,0:0:0:0:
256,192,4321,1,0,0:0:0:0:
36,192,4402,1,0,0:0:0:0:
109,192,4483,1,0,0:0:0:0:
36,192,4483,1,0,0:0:0:0:
36,192,4564,1,0,0:0:0:0:
36,192,4645,1,0,0:0:0:0:
256,192,4645,1,0,0:0:0:0:
36,192,4726,1,0,0:0:0:0:
109,192,4808,1,0,0:0:0:0:
36,192,4808,1,0,0:0:0:0:
36,192,4889,1,0,0:0:0:0:
109,192,4970,1,0,0:0:0:0:
36,192,4970,1,0,0:0:0:0:
256,192,4970,1,0,0:0:0:0:
36,192,5051,1,0,0:0:0:0:
109,192,5132,1,0,0:0:0:0:
36,192,5132,1,0,0:0:0:0:
